Game_ID,Championship_ID,Team_ID,Team_Name,Team_Score,Opponent_ID,Opponent_Name,Opponent_Score,Game_Date,Season,Is_Home,Team_ELO,Opponent_ELO,ELO_Change
146,13,31,UM Men,5,32,FAU Rugby Men,17,2012-09-08,2013,False,1500,1500,0
146,13,32,FAU Rugby Men,17,31,UM Men,5,2012-09-08,2013,True,1500,1500,0
147,13,32,FAU Rugby Men,34,37,Ave Maria,17,2012-09-15,2013,False,1500,1500,0
147,13,37,Ave Maria,17,32,FAU Rugby Men,34,2012-09-15,2013,True,1500,1500,0
154,13,7,Tampa Krewe,12,33,USF M,29,2012-09-22,2013,False,1500,1500,0
154,13,33,USF M,29,7,Tampa Krewe,12,2012-09-22,2013,True,1500,1500,0
167,13,53,UF Men,20,40,Gainesville Hogs,26,2012-09-28,2013,False,1500,1500,0
167,13,40,Gainesville Hogs,26,53,UF Men,20,2012-09-28,2013,True,1500,1500,0
210,13,37,Ave Maria,5,67,FGCU,19,2012-09-29,2013,False,1500,1500,0
77,11,71,FAU Rugby W,17,57,USF - W,17,2012-09-29,2013,False,1500,1500,0
148,13,6,Miami Tridents,7,5,Ft. Lauderdale,27,2012-09-29,2013,False,1500,1500,0
210,13,67,FGCU,19,37,Ave Maria,5,2012-09-29,2013,True,1500,1500,0
77,11,57,USF - W,17,71,FAU Rugby W,17,2012-09-29,2013,True,1500,1500,0
161,13,82,FGCU Women,0,72,Eckerd Rugby W,10,2012-09-29,2013,True,1500,1500,0
161,13,72,Eckerd Rugby W,10,82,FGCU Women,0,2012-09-29,2013,False,1500,1500,0
157,13,44,Out of State,7,38,Florida State W,36,2012-09-29,2013,False,1500,1500,0
153,13,13,Hammerheads,21,11,Orlando RFC,7,2012-09-29,2013,True,1500,1500,0
153,13,11,Orlando RFC,7,13,Hammerheads,21,2012-09-29,2013,False,1500,1500,0
148,13,5,Ft. Lauderdale,27,6,Miami Tridents,7,2012-09-29,2013,True,1500,1500,0
157,13,38,Florida State W,36,44,Out of State,7,2012-09-29,2013,True,1500,1500,0
81,11,73,UCF W,51,72,Eckerd Rugby W,15,2012-10-06,2013,True,1500,1500,0
71,10,31,UM Men,0,34,UCF M,87,2012-10-06,2013,True,1500,1500,0
71,10,34,UCF M,87,31,UM Men,0,2012-10-06,2013,False,1500,1500,0
72,10,37,Ave Maria,0,32,FAU Rugby Men,38,2012-10-06,2013,False,1500,1500,0
72,10,32,FAU Rugby Men,38,37,Ave Maria,0,2012-10-06,2013,True,1500,1500,0
124,10,67,FGCU,12,33,USF M,27,2012-10-06,2013,True,1500,1500,0
124,10,33,USF M,27,67,FGCU,12,2012-10-06,2013,False,1500,1500,0
81,11,72,Eckerd Rugby W,15,73,UCF W,51,2012-10-06,2013,False,1500,1500,0
150,13,32,FAU Rugby Men,33,32,FAU Rugby Men,24,2012-10-06,2013,False,1500,1500,0
150,13,32,FAU Rugby Men,24,32,FAU Rugby Men,33,2012-10-06,2013,True,1500,1500,0
155,13,1,Miami Rugby FC,6,13,Hammerheads,22,2012-10-06,2013,False,1500,1500,0
155,13,13,Hammerheads,22,1,Miami Rugby FC,6,2012-10-06,2013,True,1500,1500,0
214,13,76,Palm Beach,32,12,Boca Raton,17,2012-10-06,2013,True,1500,1500,0
214,13,12,Boca Raton,17,76,Palm Beach,32,2012-10-06,2013,False,1500,1500,0
211,13,75,Treasure Coast Armada,0,75,Treasure Coast Armada,40,2012-10-06,2013,True,1500,1500,0
211,13,75,Treasure Coast Armada,40,75,Treasure Coast Armada,0,2012-10-06,2013,False,1500,1500,0
163,13,58,FIU W,85,82,FGCU Women,5,2012-10-06,2013,True,1500,1500,0
163,13,82,FGCU Women,5,58,FIU W,85,2012-10-06,2013,False,1500,1500,0
76,10,34,UCF M,81,2,FIU M,22,2012-10-12,2013,True,1500,1500,0
76,10,2,FIU M,22,34,UCF M,81,2012-10-12,2013,False,1500,1500,0
83,11,73,UCF W,0,38,Florida State W,52,2012-10-13,2013,False,1500,1500,0
84,11,72,Eckerd Rugby W,24,39,UF Women,17,2012-10-13,2013,True,1500,1500,0
82,11,74,UM Women,0,58,FIU W,30,2012-10-13,2013,False,1500,1500,0
82,11,58,FIU W,30,74,UM Women,0,2012-10-13,2013,True,1500,1500,0
83,11,38,Florida State W,52,73,UCF W,0,2012-10-13,2013,True,1500,1500,0
75,10,31,UM Men,24,37,Ave Maria,12,2012-10-13,2013,True,1500,1500,0
217,13,1,Miami Rugby FC,10,5,Ft. Lauderdale,30,2012-10-13,2013,True,1500,1500,0
74,10,68,UNF RFC,33,33,USF M,9,2012-10-13,2013,False,1500,1500,0
